id,category
0,3
1,7
2,5
3,2
4,1
5,3
6,1
7,4
8,2
9,9
10,9
11,5
12,8
13,6
14,9
15,2
16,9
17,3
18,5
19,2
20,7
21,9
22,8
23,1
24,8
25,2
26,2
27,6
28,8
29,3
30,8
31,2
32,5
33,1
34,4
35,2
36,1
37,1
38,4
39,2
40,9
41,8
42,5
43,3
44,8
45,6
46,1
47,1
48,9
49,4
50,8
51,6
52,8
53,6
54,6
55,1
56,5
57,2
58,7
59,2
60,1
61,4
62,2
63,6
64,3
65,2
66,4
67,3
68,4
69,6
70,5
71,2
72,6
73,3
74,6
75,1
76,8
77,6
78,1
79,4
80,5
81,7
82,7
83,6
84,3
85,6
86,6
87,4
88,3
89,6
90,7
91,6
92,4
93,5
94,2
95,3
96,9
97,5
98,2
99,8
100,8
101,3
102,1
103,1
104,4
105,4
106,1
107,8
108,1
109,3
110,2
111,4
112,1
113,6
114,4
115,9
116,5
117,8
118,3
119,9
120,8
121,4
122,3
123,3
124,3
125,8
126,4
127,2
128,4
129,2
130,2
131,7
132,6
133,4
134,7
135,2
136,9
137,4
138,3
139,7
140,3
141,9
142,7
143,1
144,7
145,6
146,9
147,1
148,4
149,2
150,3
151,6
152,7
153,9
154,8
155,7
156,4
157,8
158,8
159,2
160,5
161,2
162,3
163,3
164,1
165,6
166,5
167,9
168,2
169,7
170,6
171,4
172,8
173,3
174,9
175,7
176,3
177,1
178,8
179,6
180,8
181,6
182,1
183,2
184,9
185,7
186,5
187,9
188,7
189,5
190,2
191,2
192,1
193,8
194,3
195,5
196,5
197,7
198,2
199,7
200,8
201,2
202,3
203,1
204,3
205,4
206,3
207,2
208,3
209,7
210,3
211,9
212,8
213,2
214,7
215,8
216,6
217,3
218,7
219,1
220,4
221,5
222,8
223,2
224,2
225,2
226,1
227,5
228,7
229,3
230,9
231,3
232,3
233,8
234,5
235,1
236,8
237,5
238,3
239,9
240,1
241,6
242,2
243,2
244,9
245,4
246,7
247,5
248,9
249,2
250,6
251,8
252,5
253,9
254,7
255,9
256,5
257,1
258,5
259,2
260,6
261,8
262,9
263,4
264,6
265,1
266,4
267,5
268,2
269,8
270,3
271,3
272,3
273,6
274,7
275,5
276,6
277,5
278,4
279,9
280,7
281,8
282,6
283,5
284,4
285,1
286,2
287,4
288,5
289,6
290,6
291,9
292,6
293,2
294,9
295,6
296,2
297,8
298,3
299,7
300,9
301,5
302,2
303,2
304,8
305,6
306,3
307,8
308,6
309,9
310,9
311,8
312,1
313,9
314,2
315,5
316,4
317,3
318,6
319,1
320,9
321,3
322,1
323,9
324,5
325,8
326,7
327,3
328,7
329,5
330,5
331,5
332,1
333,6
334,8
335,7
336,4
337,3
338,2
339,4
340,2
341,3
342,7
343,4
344,7
345,7
346,8
347,3
348,5
349,4
350,9
351,3
352,4
353,8
354,7
355,6
356,4
357,5
358,9
359,7
360,1
361,9
362,9
363,7
364,2
365,6
366,5
367,7
368,9
369,8
370,8
371,5
372,1
373,9
374,6
375,6
376,6
377,4
378,2
379,8
380,3
381,2
382,1
383,9
384,9
385,2
386,3
387,3
388,8
389,3
390,4
391,3
392,6
393,2
394,9
395,1
396,9
397,3
398,8
399,6
400,2
401,3
402,8
403,6
404,3
405,7
406,8
407,6
408,9
409,4
410,4
411,2
412,3
413,8
414,8
415,6
416,5
417,2
418,9
419,1
420,8
421,7
422,9
423,4
424,6
425,4
426,2
427,9
428,8
429,2
430,5
431,5
432,5
433,7
434,4
435,2
436,5
437,5
438,2
439,5
440,9
441,7
442,3
443,8
444,6
445,4
446,2
447,5
448,1
449,9
450,6
451,5
452,1
453,3
454,6
455,6
456,6
457,7
458,2
459,9
460,5
461,6
462,5
463,9
464,2
465,2
466,5
467,3
468,1
469,3
470,7
471,5
472,9
473,8
474,9
475,3
476,8
477,5
478,1
480,3
481,5
482,8
483,4
484,7
485,1
486,5
489,8
490,2
491,6
492,8
493,2
494,8
495,5
496,3
497,7
498,4
499,2
500,9
501,1
502,9
503,5
504,7
505,9
506,1
508,5
509,4
510,1
511,3
512,3
514,3
516,2
517,2
518,9
519,5
520,5
521,2
522,9
524,9
525,7
526,1
527,4
528,2
529,9
530,1
531,7
532,9
533,5
534,8
535,9
537,3
538,7
539,3
540,2
541,1
542,1
543,9
544,3
546,7
548,1
549,1
550,3
551,3
554,9
557,3
558,2
560,4
561,1
562,1
565,5
568,6
569,9
570,2
571,2
573,1
578,1
580,6
581,4
582,5
583,5
584,1
586,1
587,1
589,3
590,3
591,5
593,9
594,4
595,4
596,6
597,3
598,1
602,2
604,8
605,5
606,4
607,3
608,6
609,7
610,2
611,7
613,6
615,1
618,8
619,5
620,2
625,9
626,3
629,8
630,5
634,1
637,4
639,5
640,5
647,9
651,1
653,1
654,2
659,2
672,9
674,3
